#          k           1          b1       b1*b1
    0.087882     1525.68     4466.29    -52.2759
   0.0917863     1401.14      4101.5      -50.85
   0.0958641     1291.63     3780.71    -47.6868
    0.100123     1199.16      3509.9    -45.1624
    0.104571     1125.16      3293.5    -42.3628
    0.109217     1071.41     3136.73    -33.4561
    0.114069     1030.55      3017.8    -24.0857
    0.119137     995.349     2915.32     -16.598
     0.12443     957.225     2804.17    -11.2629
    0.129958     909.324     2664.26    -7.00158
    0.135731     850.955     2493.62    -2.89293
    0.141761     783.561     2296.49     1.99412
    0.148059     713.337        2091     7.54083
        0.15     693.088     2031.73     9.16512
    0.154637     649.144     1903.05     12.1993
    0.157895     622.217     1824.15     13.6564
    0.161507     596.046     1747.43     14.4562
    0.165789     569.955     1670.87     14.2556
    0.168682      555.22     1627.59     13.2899
    0.173684     534.015     1565.24     10.2574
    0.176176     524.782     1538.07     8.31282
    0.181579     505.932     1482.59     3.83352
    0.184003      497.35     1457.35     2.09701
    0.189474     476.614     1396.45   -0.675067
    0.192178     465.747     1364.58    -1.33797
    0.197368     444.208     1301.45     -1.4933
    0.200716     430.083     1260.07    -0.86877
    0.205263     410.867     1203.81    0.556505
    0.209633     392.803     1150.92     2.45368
    0.213158     378.838     1110.05     4.22125
    0.218946     357.561     1047.76     6.86292
    0.221053     350.453     1026.93     7.55649
    0.228673     328.189     961.632     7.97081
    0.228947     327.488     959.573     7.91419
    0.236842     309.286     906.052     4.70518
    0.238833     305.149     893.878     3.57718
    0.244737     293.403     859.315    0.219848
    0.249443     284.184     832.226    -1.77425
    0.252632     277.865     813.689    -2.48613
    0.260525     262.234     767.922    -2.26735
    0.260526     262.231     767.915    -2.26715
    0.268421     247.135     723.779   -0.410018
    0.272099     240.426     704.165    0.556375
    0.276316     233.101     682.743     1.48775
    0.284188     220.424     645.628     2.32694
    0.284211      220.39     645.527      2.3279
    0.292105     208.859     611.733     2.29909
    0.296814     202.457     592.957     2.02201
         0.3      198.31     580.795     1.77382
        0.31     186.086     544.948     1.03934
        0.01     2090.63  -0.0289633 -0.00792239
   0.0104443     2124.34  -0.0350359 -0.00957596
   0.0109083     2156.01  -0.0423663  -0.0115775
   0.0113929     2185.27  -0.0511948  -0.0139992
    0.011899     2211.94  -0.0617942  -0.0169229
   0.0124277     2235.72  -0.0744605  -0.0204354
   0.0129798     2256.37  -0.0895176  -0.0246266
   0.0135564      2273.7   -0.107327  -0.0295896
   0.0141587     2287.51   -0.128312  -0.0354254
   0.0147878     2297.27   -0.152975  -0.0422519
   0.0154447     2302.27   -0.181945  -0.0502247
   0.0161309     2302.84   -0.216112  -0.0595867
   0.0168475     2300.85   -0.256751   -0.070714
    0.017596     2297.24   -0.305275  -0.0840442
   0.0183777     2289.49   -0.362622  -0.0998864
   0.0191942     2274.44   -0.429189    -0.11836
   0.0200469     2251.34   -0.505318   -0.139492
   0.0209375     2220.57   -0.591674   -0.163338
   0.0218677     2183.39   -0.689962   -0.190264
   0.0228392     2142.04   -0.803552   -0.221244
   0.0238539     2097.96   -0.936392   -0.257584
   0.0249137     2050.76    -1.09067   -0.300092
   0.0260205     1999.71    -1.26252   -0.348506
   0.0271765      1944.6    -1.46078   -0.402022
   0.0283839      1885.5    -1.67813   -0.461012
   0.0296449     1822.61    -1.92958   -0.528067
   0.0309619     1756.42    -2.21019   -0.605772
   0.0323375     1688.72    -2.52342   -0.690184
   0.0337741     1623.65    -2.88011    -0.78874
   0.0352746     1564.17    -3.29269    -0.89705
   0.0368417     1506.97    -3.76606    -1.02741
   0.0384785     1446.95    -4.28957    -1.16814
    0.040188     1384.13    -4.86963    -1.32363
   0.0419734     1321.72     -5.5119    -1.49638
   0.0438381     1262.56    -6.24745    -1.69273
   0.0457857      1209.1    -7.08942    -1.91292
   0.0478198     1162.78    -8.07846    -2.17417
   0.0499443     1122.88    -9.23688    -2.47715
   0.0521632      1087.8    -10.5927    -2.82911
   0.0544806     1055.93    -12.1592    -3.23536
    0.056901     1025.49    -13.9593      -3.696
   0.0594289     994.873      -15.99    -4.21292
   0.0620692      962.78    -18.2534    -4.78039
   0.0648267     928.229    -20.7221    -5.38936
   0.0677067     891.221    -23.3789    -6.03043
   0.0707147     851.717    -26.1767    -6.68811
   0.0738564     808.779    -28.9827    -7.31923
   0.0771375     761.189    -31.5918    -7.86755
   0.0805645     709.482    -33.7358    -8.25379
   0.0841437     655.719    -35.1266    -8.40443
    0.087882     602.409    -35.5113    -8.26994
   0.0917863      552.71    -34.5911    -7.81032
   0.0958641     509.218    -32.6943    -7.24537
    0.100123      472.36    -31.6648    -7.36157
    0.104571     443.003    -30.4323    -7.79547
    0.109217     422.825    -24.3692    -6.60296
    0.114069     407.901    -17.7889    -5.04491
    0.119137     394.949    -12.4451    -3.68045
     0.12443     380.519    -8.54819    -2.61442
    0.129958     362.037     -5.3579    -1.70545
    0.135731     339.374    -2.24775   -0.810877
    0.141761     313.229     1.38599    0.197987
    0.148059     286.052     5.42148     1.27509
        0.15      278.22     6.58732     1.58347
    0.154637     261.153     8.79591     2.16771
    0.157895     250.643     9.86786     2.45614
    0.161507     240.334     10.4873      2.6282
    0.165789     229.925     10.4359     2.63352
    0.168682     223.929     9.84029     2.51005
    0.173684     215.081      7.9233     2.08348
    0.176176      211.15     6.68485     1.80929
    0.181579     203.058     3.84349     1.17224
    0.184003     199.418      2.7512    0.911196
    0.189474     190.816     1.02865    0.477723
    0.192178     186.415    0.630345    0.346411
    0.197368     177.845    0.586757    0.241866
    0.200716     172.314     1.00689    0.268643
    0.205263     164.872     1.95546    0.387595
    0.209633     157.939     3.18416    0.566999
    0.213158     152.608     4.28819    0.728692
    0.218946     144.464     5.90392    0.953103
    0.221053     141.716     6.32093     1.00777
    0.228673      132.86      6.4993     1.01653
    0.228947     132.571     6.46155     1.01114
    0.236842     124.866     4.43703    0.737565
    0.238833     123.065     3.74301    0.647533
    0.244737     117.942     1.69399    0.382037
    0.249443     114.005     0.47481    0.204318
    0.252632     111.389   0.0266455    0.113595
    0.260525     105.155   0.0470697  -0.0322627
    0.260526     105.155   0.0471606  -0.0322793
    0.268421     99.3259     1.00518  -0.0867597
    0.272099     96.7552     1.52895  -0.0750258
    0.276316     93.9265     2.01381  -0.0738196
    0.284188     88.9489     2.46706  -0.0118151
    0.284211     88.9352     2.46765  -0.0115362
    0.292105     84.3092     2.42947   0.0342036
    0.296814       81.71     2.26432   0.0582198
         0.3     80.0132     2.09911   0.0444751
        0.31     75.0237     1.65183   0.0557429
