#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7
        0.01    -14.6482    -18.4769    -13.4547    -4.58283    -13.6794    -53.0916     91.8852    -17.2553     62.9596    -41.8644    -52.8262    -10.1519     2.88154    0.960513    0.576308    0.765307    0.459184    0.327989         100        0.01   0.0026559
   0.0104762    -16.3007    -21.1009    -14.4862    -5.08762    -14.7319    -58.3521     100.457     -19.156     69.2138    -45.6024    -57.6509    -11.1183     3.21698     1.07233    0.643397    0.854398    0.512639     0.36617         100    0.010975  0.00291484
    0.010975    -18.0577    -23.8254    -15.5735    -5.63835    -15.8404    -63.8349     109.782    -21.2296     76.0755    -49.6423    -62.8821    -12.1735     3.58642     1.19547    0.717283    0.952515    0.571509    0.408221         100    0.012045  0.00319904
   0.0114976    -19.9663    -26.8142    -16.7164    -6.23744    -17.0043     -69.781     119.919    -23.4853     83.5999    -54.0042    -68.5494    -13.3252     3.99232     1.33077    0.798464     1.06032    0.636191    0.454422         100   0.0132194  0.00351094
    0.012045    -22.0929    -30.3068    -17.9135     -6.8871    -18.2217    -76.5412      130.93    -25.9314     91.8485    -58.7091     -74.684     -14.582     4.43718     1.47906    0.887437     1.17847    0.707082    0.505059         100   0.0145083  0.00385325
   0.0126186    -24.3982    -34.1454    -19.1629    -7.58921    -19.4896    -83.9128     142.885    -28.5749     100.887    -63.7784    -81.3186     -15.953      4.9234     1.64113    0.984681      1.3076    0.784563    0.560402         100   0.0159228  0.00422894
   0.0132194    -26.8215    -38.0934    -20.4621    -8.34545    -20.8049    -91.5841     155.851    -31.4224     110.784    -69.2346    -88.4875    -17.4482     5.45341      1.8178     1.09068     1.44837    0.869022     0.62073         100   0.0174753  0.00464125
   0.0138489    -29.4211    -42.3632    -21.8077    -9.15742     -22.163    -99.8768     169.904    -34.4796     121.612    -75.1006    -96.2263    -19.0783     6.02971      2.0099     1.20594     1.60143    0.960858    0.686327         100   0.0191791  0.00509377
   0.0145083    -32.2711    -47.2346    -23.1951    -10.0255     -23.558    -109.218      185.12     -37.748     133.453    -81.3996    -104.572     -20.855     6.65419     2.21806     1.33084     1.76728     1.06037    0.757407         100    0.021049  0.00559041
   0.0151991    -35.3018    -52.4613    -24.6185    -10.9469    -24.9825    -119.325     201.581    -41.2174      146.39    -88.1554    -113.564    -22.7908     7.32681     2.44227     1.46536     1.94593     1.16756    0.833968         100   0.0231013  0.00613546
   0.0159228    -38.4297    -57.7403    -26.0717      -11.92    -26.4285    -129.825     219.369    -44.8813     160.509    -95.3924    -123.241    -24.8994      8.0483     2.68277     1.60966     2.13754     1.28253     0.91609         100   0.0253537  0.00673367
    0.016681    -41.7522    -63.3953     -27.547    -12.9539    -27.8867    -141.134     238.571    -48.7741     175.903    -103.135    -133.644    -27.1955     8.82686     2.94229     1.76537     2.34432     1.40659     1.00471         100   0.0278256  0.00739019
